campaign_name,cost,purchases,conv_value
ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,98700.01,7733,515043.8
ASUC-(ALL)-PERF-KIDS-INTER,55975.33,3921,224617.35
ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,47064.32,4416,266682.33
ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,46965.71,1291,112326.13
ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,46013.97,1667,112377.43
ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,44313.05,1807,124764.57
ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,42361.68,2380,166107.69
ASUC-(HISTO)-US-(US)-PERF-RTG,36884.14,1501,132468.22
ASUC-(HISTO)-UK-(UK)-PERF-RTG,31772.9,1594,107897.15
ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,30732.21,2436,125230.77
ASUC-(ALL)-PERF-RTG-HORIZON-INTER,28635.98,2371,158027.84
ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,27742.52,1958,93034.76
ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,22737.74,994,93151.58
ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,22677.38,748,67999.84
ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,18496.79,958,54553.91
ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,14219.18,1141,66058.38
ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,14085.69,981,52327.08
ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,14050.44,636,37378.31
ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,13748.73,659,40385.97
ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,11630.96,472,24789.5
ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,9549.12,795,44111.72
ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,9041.06,512,28261.14
ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,8660.67,588,39691.83
ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,8080.51,354,29549.59
ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,7705.17,522,31292.02
ASUC-(NEW)-PERF-RTG-WARM-ROW,7655.92,479,35125.99
ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,7508.33,266,21384.09
ASUC-(NEW)-CANADA-(CA)-PERF-RTG,7335.22,364,31852.68
ASUC-(HISTO)-MULTI-(HISTO)-PERF-LABO,6631.13,298,19655.83
ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,6053.35,410,25936.31
ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,4265.15,273,15989.08
ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,4234.32,136,11090.91
ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,3969.06,224,12537.46
ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,3859.4,49,3893.3
ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,3789.12,156,13286.04
ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,3268.16,183,9646.6
ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD-RECO,2901.66,37,3141.65
ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,2867.74,84,9308.93
ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,2602.37,105,6444.4
ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,2445.15,112,12194.03
ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,2302.2,88,6789.8
ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,2007.82,172,8988.99
ASUC-STEPHANE-(HISTO)-US-(US)-PERF-FID,1930.07,37,3317.97
ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,1929.19,74,5624.61
ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,1928.61,60,5187.28
ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,1912.83,29,2029.93
ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,1821.61,85,5319.17
ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,1585.75,83,5857.16
ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,1550.62,76,5844.39
ASUC-(ALL)-PERF-ACQ-COLD-CATALOGUE-INTER,1325.05,69,4789.01
ASUC-(NEW)-MOYEN-ORIENT-(MO)-PERF-RTG,1072.76,46,5523.2
ASUC-(NEW)-PERF-RTG-HOT-FID-ROW,981.28,36,3254.83
ASUC-(NEW)-MOYEN-ORIENT-(MO)-PERF-ACQ-COLD,957.33,31,3073.94
ASUC-Branding-NOTO-DTS-Lille,131.31,,
"Publication Instagram : JEUX CONCOURS IZIPIZI x...",111.89,,
"Publication Instagram : @izipizi X @balibaris -...",111.7,,
"Publication Instagram : Visiting Paris? A stop at...",72.51,,
